type,description
#TBT,Poste uma foto do início do seu negócio.
AGRADEÇA,"Agradeça a algum mentor, líder ou projeto que passou."
AGRADEÇA,Agradeça a um mentor ou um amigo e diga porque ele ajuda você e como
AGRADEÇA,Agradeça seus clientes e parceiros.
AGRADEÇA,Compartilhe algo interessante sobre a sua vida pessoal e mostre gratidão
AGRADEÇA,Compartilhe um desafio que você teve na vida e fale do aprendizado
AGRADEÇA,Marque um amigo ou mentor e diga como ele te ajudou/ajuda
AGRADEÇA,Mencione um desafio importante na sua vida e se mostre grato ao momento
APOIO AO PEQUENO NEGÓCIO,Comente sobre como sua audiência pode apoiar o seu ou outros negócios.
APRENDIZADO PELO FRACASSO,Diga uma coisa que você aprendeu pelo erro
BASTIDORES,Mostre os bastidores da sua empresa.
BENEFÍCIO DE USAR SEU PRODUTO,Fale quais os benefícios de usar seu produto / serviço
CASO DE SUCESSO,"Apresente um cliente como um caso de sucesso. Use depoimento em texto, print de whatsapp ou vídeos (esse é top)"
CLIENTES,Mostre um de seus clientes mais fiéis.
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E GOSTOU,"Compartilhe um artigo, uma matéria, curso que seja útil para a sua audiência e que você comprove que é bom"
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E TE AJUDOU,Compartilhe algo que te ajudou recentemente
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E TE AJUDOU,Escreva sobre um serviço ou ferramenta que te ajudou e indique
COMO FUNCIONA SUA EMPRESA,Fale um pouco dos procedimentos por trás da sua empresa
COMPARTILHE ALGO QUE TE AJUDOU,Mencione algo recente que ajudou você a melhorar negócio e vida
COMPARTILHE APRENDIZADO,Compartilhe algo que você leu e que vai ser bom pra sua audiência também
COMPARTILHE UM FATO INTERESSANTE SOBRE VOCÊ,Lembre de um momento que foi chave em uma mudança importante pra você
COMPARTILHE UM FILME OU LIVRO,Compartilhe o comente o insight do livro/filme
COMPARTILHE UM FILME OU LIVRO,Indique um livro/filme legal para a sua audiência
COMPARTILHE UM VÍDEO ÚTIL,Poste e comente sobre um vídeo que você viu e que vai agregar valor para audiência
COMPARTILHE VALOR,Compartilhe um vídeo que vá resolver alguma dor da sua audiência
COMPARTILHE VALOR,"Indique um artigo que vai ajduar a sua audiência em algo, por menor que seja"
COMPARTILHE VALOR,Reposte um artigo/matéria/blog/perfil que vá ajudar a sua audiência em algo
COMPARTILHE VERDADES,Compartilhe o seu livro ou filme favorito e explique o motivo/história
COTIDIANO DE SUA EMPRESA,Fotografe um momento do cotidiano de sua empresa
CURIOSIDADE,"Busque em pesquisas e blogs, alguma curiosidade que o seu público vá se impressionar ao saber. Peça para comentarem."
CURIOSIDADE,Faça perguntas sobre quais os sonhos da sua audiência.
CURIOSIDADES,Comente alguma curiosidade sobre você.
CURIOSIDADES,Conte 5 curiosidades sobre você ou o seu negócio.
CURIOSIDADES,Conte sobre algo curioso que já vivenciou no seu negócio
CURIOSIDADES,Post mostrando como é feito os produtos/como é embalado.
CURIOSIDADES,Post mostrando como eu desenvolvo
DESAFIOS DO SEU NEGÓCIO,Fale de algum desafio que você encarou ou encara dentro da sua empresa e como superou ou está superando
DICA,Dê uma dica de como usar seu produto/serviço
DICAS,Dicas de apps que te ajuda profissionalmente.
DICAS,Indique um filme que possa interessar a sua audiência
